deression,,,stress,,,anxiecty,,,Income,,,Total Members,,,Aged Family mebers,,,Age,
,,,,,,,,,,,,,,,,,,,
Mean,3.18745098,,Mean,3.007843137,,Mean,3.50745098,,Mean,21363.67296,,Mean,4.24627451,,Mean,0.33254902,,Mean,37.82196078
Standard Error,0.072750953,,Standard Error,0.062668723,,Standard Error,0.087597565,,Standard Error,585.7160407,,Standard Error,0.038810378,,Standard Error,0.016588747,,Standard Error,0.251300168
Median,2.5,,Median,2.5,,Median,2.5,,Median,20000,,Median,4,,Median,0,,Median,36
Mode,0,,Mode,2.5,,Mode,0,,Mode,20000,,Mode,4,,Mode,0,,Mode,40
Standard Deviation,2.597728632,,Standard Deviation,2.237720998,,Standard Deviation,3.12785872,,Standard Deviation,20889.62643,,Standard Deviation,1.38580769,,Standard Deviation,0.592336734,,Standard Deviation,8.973210832
Sample Variance,6.748194047,,Sample Variance,5.007395266,,Sample Variance,9.783500169,,Sample Variance,436376492.6,,Sample Variance,1.920462954,,Sample Variance,0.350862807,,Sample Variance,80.51851264
Kurtosis,-0.565074466,,Kurtosis,0.002181077,,Kurtosis,-1.051071801,,Kurtosis,235.2357375,,Kurtosis,5.653220663,,Kurtosis,2.3292569,,Kurtosis,-0.690762765
Skewness,0.676174315,,Skewness,0.816997651,,Skewness,0.651303518,,Skewness,11.90154579,,Skewness,1.499218826,,Skewness,1.691500353,,Skewness,0.525023717
Range,10,,Range,10,,Range,10,,Range,500091,,Range,14,,Range,4,,Range,34
Minimum,0,,Minimum,0,,Minimum,0,,Minimum,0,,Minimum,0,,Minimum,0,,Minimum,25
Maximum,10,,Maximum,10,,Maximum,10,,Maximum,500091,,Maximum,14,,Maximum,4,,Maximum,59
Sum,4064,,Sum,3835,,Sum,4472,,Sum,27174592,,Sum,5414,,Sum,424,,Sum,48223
Count,1275,,Count,1275,,Count,1275,,Count,1272,,Count,1275,,Count,1275,,Count,1275
